,,,,,,,,,,,,,,,Oostzaan,Valkenswaard,,,,,,Vlaardingen,,,,,,,
,,,,,,,,,,,,,,,Ouder-Amstel,Veldhoven,,,,,,Wassenaar,,,,,,,
,,,,,,,,,,,,,,,Purmerend,Waalre,,,,,,Westland,,,,,,,
,,,,,,,,,,,,,,,Uithoorn,,,,,,,Westvoorne,,,,,,,
,,,,,,,,,,,,,,,Velsen,,,,,,,Zoetermeer,,,,,,,
,,,,,,,,,,,,,,,Waterland,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,Weesp,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,Wijdemeren,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,Wormerland,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,Zaanstad,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,Zandvoort,,,,,,,,,,,,,,
